courseCode;courseName;hp;level;fall;spring;period1;period2;url
TDDD56;Multicore- och GPU-Programmering;6;A1X;1;0;;2;https://liu.se/studieinfo/kurs/TDDD56
TSBB06;Multidimensionell signalanalys;6;A1X;1;0;2;3;https://liu.se/studieinfo/kurs/TSBB06
TBMI26;Neuronnät och lärande system;6;A1X;0;1;2;;https://liu.se/studieinfo/kurs/TBMI26
TAOP61;Optimering av realistiska, sammansatta system;6;A1X;1;0;;3;https://liu.se/studieinfo/kurs/TAOP61
TDDC78;Programmering av parallelldatorer - metoder och verktyg;6;A1X;0;1;;2;https://liu.se/studieinfo/kurs/TDDC78
TDDD49;Programmering i C# och .NET Framework;4;G2X;1;0;;3;https://liu.se/studieinfo/kurs/TDDD49
TDDE52;Programmeringsprojekt med öppen källkod;6;A1X;1;0;4;4;https://liu.se/studieinfo/kurs/TDDE52
TDDD69;Programutvecklingsmetodik - företagsprojekt;6;A1X;1;0;1;1;https://liu.se/studieinfo/kurs/TDDD69
TDDE41;Programvaruarkitekturer;6;A1X;0;1;;1;https://liu.se/studieinfo/kurs/TDDE41
TDDE46;Programvarukvalitet;6;A1X;0;1;2;2;https://liu.se/studieinfo/kurs/TDDE46
TDDD04;Programvarutestning;6;A1X;1;0;2;;https://liu.se/studieinfo/kurs/TDDD04
TBMT14;Projektkurs i medicinsk teknik;12;A1X;1;0;4;4;https://liu.se/studieinfo/kurs/TBMT14
TEIO32;Projektledning och organisation;6;G2X;1;0;3;1;https://liu.se/studieinfo/kurs/TEIO32
TDDD07;Realtidssystem;6;A1X;1;0;;4;https://liu.se/studieinfo/kurs/TDDD07
TGTU91;Retorik i teori och praktik;6;G1X;0;1;2;;https://liu.se/studieinfo/kurs/TGTU91
TGTU91;Retorik i teori och praktik;6;G1X;1;0;2;;https://liu.se/studieinfo/kurs/TGTU91
TAMS22;Sannolikhetsteori och bayesianska nätverk;6;A1X;1;0;4;4;https://liu.se/studieinfo/kurs/TAMS22
TSRT14;Sensorfusion;6;A1X;0;1;;2;https://liu.se/studieinfo/kurs/TSRT14
TSDT14;Signalteori;6;A1X;1;0;1;;https://liu.se/studieinfo/kurs/TSDT14
TDDC90;Software Security;6;A1X;1;0;;1;https://liu.se/studieinfo/kurs/TDDC90
TDDE09;Språkteknologi;6;A1X;0;1;2;;https://liu.se/studieinfo/kurs/TDDE09
TDEI72;Strategi och digitalisering - teknik;6;A1X;1;0;4;;https://liu.se/studieinfo/kurs/TDEI72
TDTS07;Systemkonstruktion och metodik;6;A1X;0;1;1;;https://liu.se/studieinfo/kurs/TDTS07
TSBK03;Teknik för avancerade datorspel;6;A1X;1;0;1;0;https://liu.se/studieinfo/kurs/TSBK03
TBMT26;Teknik för intensivvård och kirurgi;6;A1X;0;1;;1;https://liu.se/studieinfo/kurs/TBMT26
TGTU94;Teknik och etik;6;G1X;0;1;1;;https://liu.se/studieinfo/kurs/TGTU94
TGTU94;Teknik och etik;6;G1X;1;0;4;;https://liu.se/studieinfo/kurs/TGTU94
TGTU49;Teknikhistoria;6;G1X;1;0;;3;https://liu.se/studieinfo/kurs/TGTU49
TDDC34;Teknisk, ekonomisk och samhällelig utvärdering av IT-produkter;6;A1X;1;0;;4;https://liu.se/studieinfo/kurs/TDDC34
TDDE16;Text Mining;6;A1X;1;0;;2;https://liu.se/studieinfo/kurs/TDDE16
TGTU95;Vetenskapens och teknologins filosofi;6;G1X;0;1;;4;https://liu.se/studieinfo/kurs/TGTU95
TDDD89;Vetenskaplig metod;6;A1X;1;0;;3;https://liu.se/studieinfo/kurs/TDDD89
TNM067;Vetenskaplig visualisering;6;A1X;1;0;3;;https://liu.se/studieinfo/kurs/TNM067
TNM086;VR-teknik;6;A1X;1;0;;2;https://liu.se/studieinfo/kurs/TNM086
TDDD97;Webbprogrammering;6;G2X;0;1;3;;https://liu.se/studieinfo/kurs/TDDD97
